oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
766207400013324,101727872,2458771.7796916690,58771.278726900000,16.877815,0.0148536693,0,zr,292.46000910000000,46.372976000000000,0.91600001,0.0250000004,20191015278704,766,7,4,19.5200005,26.0668106,0.0189036224,0.0931277946,8.80529205E-06,30.0,1.78100002,2
766207400013324,102509574,2458779.5964073420,58779.095740700000,16.898014,0.0149506610,0,zr,292.46000990000000,46.372984300000000,0.69900000,0.0579999983,20191023095741,766,7,4,20.8999996,26.1738567,0.0167486407,0.0831060186,7.05722641E-06,30.0,1.05700004,1
766207400013324,102811465,2458782.6152014886,58782.114652800000,16.920177,0.0150591778,0,zr,292.45999730000000,46.372985600000000,0.69400001,0.0710000023,20191026114606,766,7,4,20.8700008,26.1794758,0.0131912874,0.0849870890,4.29995089E-06,30.0,1.09599996,1
766207400013324,103109725,2458785.5976880430,58785.097256900000,16.897545,0.0149483839,0,zr,292.46002340000000,46.372986500000000,0.29100001,0.0219999999,20191029097222,766,7,4,20.9599991,26.1632137,0.0141897090,0.0843008384,5.03164938E-06,30.0,1.08000004,1
766207400013324,103708597,2458791.5861655935,58791.085972200000,16.869986,0.0148165533,0,zr,292.46002690000000,46.373000400000000,1.50899994,0.1030000001,20191104085938,766,7,4,20.7000008,26.1615143,0.0155956484,0.0888556466,6.05552850E-06,30.0,1.08899999,1
766207400013324,104307530,2458797.5752564073,58797.075300900000,16.809933,0.0145405931,0,zr,292.46001250000000,46.372986400000000,0.57700002,0.0579999983,20191110075255,766,7,4,20.1599998,26.1528015,0.0145142199,0.0841170251,5.33930006E-06,30.0,1.09899998,1
766207400013324,105810341,2458812.6027890840,58812.103414400000,16.800478,0.0144985188,0,zr,292.46003290000000,46.372994500000000,0.74900001,0.0120000001,20191125103414,766,7,4,20.4799995,26.1226673,0.0178345256,0.0841917992,8.01017086E-06,30.0,1.31900001,1
766207400013324,107508267,2458829.5814605620,58829.082673600000,16.877132,0.0148504199,0,zr,292.46001610000000,46.372986700000000,0.28000000,-0.0099999998,20191212082674,766,7,4,19.1499996,25.9207802,0.0262846462,0.0790890753,1.71052943E-05,30.0,1.46300006,1
766207400013324,113852951,2458893.0274759308,58892.529513900000,16.812431,0.0145517737,0,zr,292.46001880000000,46.372998800000000,0.54100001,0.0149999997,20200213529514,766,7,4,20.2099991,26.1926117,0.0171032250,0.0877655819,7.27103179E-06,30.0,1.83500004,1
766207400013324,114151802,2458896.0160102285,58895.518020800000,16.814362,0.0145604275,0,zr,292.46002100000000,46.372999900000000,0.89300001,-0.0149999997,20200216518009,766,7,4,20.4699993,26.1592598,0.0224513505,0.0864381343,1.24852386E-05,30.0,1.87399995,1
766207400013324,115848982,2458912.9880818776,58912.489826400000,16.778095,0.0144003583,0,zr,292.46003830000000,46.373007100000000,0.73000002,-0.0140000004,20200304489826,766,7,4,20.7500000,26.1983356,0.0138720842,0.0898566172,4.82029918E-06,30.0,1.67999995,1
766207400013324,116152623,2458916.0245600212,58915.526238400000,16.751591,0.0142867025,0,zr,292.46001550000000,46.373002200000000,0.41800001,0.0309999995,20200307526238,766,7,4,20.9500008,26.2241325,0.0215560794,0.0863438696,1.15627026E-05,30.0,1.36300004,1
766207400013324,118949038,2458943.9895254090,58943.490381900000,16.722570,0.0141654015,0,zr,292.46001990000000,46.372990900000000,0.43900001,0.0199999996,20200404490382,766,7,4,21.0200005,26.2232189,0.0132591687,0.0894457400,4.34710637E-06,30.0,1.19299996,1
766207400013324,120048896,2458954.9885137190,58954.488969900000,16.787342,0.0144406613,0,zr,292.46001720000000,46.373006000000000,0.47900000,0.0410000011,20200415488947,766,7,4,20.8799992,26.2507343,0.0134867132,0.0905439332,4.50161360E-06,30.0,1.11600006,1
766207400013324,120846644,2458962.9662959130,58962.466446800000,16.787834,0.0144428173,0,zr,292.46002940000000,46.372985600000000,0.54200000,0.0219999999,20200423466447,766,7,4,21.1700001,26.2535362,0.0133474143,0.0910890028,4.47590537E-06,30.0,1.11800003,1
766207400013324,121145385,2458965.9538195045,58965.453854200000,16.765343,0.0143453274,0,zr,292.46001060000000,46.372995400000000,0.73400003,0.0649999976,20200426453831,766,7,4,21.5599995,26.2628021,0.0136775030,0.0832980350,4.54961446E-06,30.0,1.12800002,1
766207400013324,121443089,2458968.9309728052,58968.430891200000,16.816013,0.0145678483,0,zr,292.46001670000000,46.373003700000000,0.86500001,0.0780000016,20200429430880,766,7,4,21.7500000,26.3025475,0.0161638074,0.0841566175,6.47448451E-06,30.0,1.16600001,1
766207400013324,121740437,2458971.9045729740,58971.404375000000,16.803986,0.0145140840,0,zr,292.46001890000000,46.372983000000000,0.71700001,0.0590000004,20200502404375,766,7,4,21.1000004,26.2815037,0.0118971858,0.0831747502,3.47587547E-06,30.0,1.22500002,1
766207400013324,122036940,2458974.8697236170,58974.369409700000,16.797138,0.0144837406,0,zr,292.46001590000000,46.372993100000000,0.43399999,0.0230000000,20200505369410,766,7,4,20.5599995,26.2717075,0.0132630989,0.0802602097,4.39877476E-06,30.0,1.34099996,1
766207400013324,122346398,2458977.9644161044,58977.463981500000,16.842743,0.0146894734,0,zr,292.46001870000000,46.372975500000000,0.57200003,0.0189999994,20200508463981,766,7,4,19.6000004,25.9382763,0.0183234680,0.0793940201,8.45339582E-06,30.0,1.05599999,1
766207400013324,122646930,2458980.9698566953,58980.469305600000,16.808161,0.0145326769,0,zr,292.46000420000000,46.372985400000000,0.64300001,0.0399999991,20200511469306,766,7,4,20.6399994,26.2971668,0.0130724944,0.0806697607,4.17992987E-06,30.0,1.04400003,1
766207400013324,122939305,2458983.8937190880,58983.393055600000,16.820118,0.0145863313,0,zr,292.46001650000000,46.372986900000000,0.99299997,0.0979999974,20200514393044,766,7,4,21.0100002,26.2260914,0.0120863402,0.0786573589,3.60700437E-06,30.0,1.15699995,1
766207400013324,123745105,2458991.9520196100,58991.451053200000,16.792814,0.0144646801,0,zr,292.46001800000000,46.372992000000000,0.75400001,0.0450000018,20200522451030,766,7,4,21.7299995,26.3079395,0.0177610517,0.0864794031,7.79190395E-06,30.0,1.03699994,1
766207400013324,124345581,2458997.9569930630,58997.455810200000,16.796185,0.0144795310,0,zr,292.46000290000000,46.372983800000000,0.57499999,0.0410000011,20200528455810,766,7,4,21.5499992,26.2907257,0.0127579765,0.0869316012,4.05324090E-06,30.0,1.03299999,1
766207400013324,125030446,2459004.8058844410,59004.304467600000,16.782999,0.0144216875,0,zr,292.46000730000000,46.372988200000000,0.51700002,0.0289999992,20200604304468,766,7,4,20.5000000,26.2732372,0.0148893939,0.0789820403,5.52829579E-06,30.0,1.26300001,1
766207400013324,125537268,2459009.8742648210,59009.372685200000,16.801910,0.0145048676,0,zr,292.46002670000000,46.372990200000000,0.55400002,0.0340000018,20200609372662,766,7,4,20.6399994,26.3429127,0.0130907120,0.0844452679,4.22857829E-06,30.0,1.05999994,1
766207400013324,125828675,2459012.7884279443,59012.286759300000,16.822254,0.0145959780,0,zr,292.46001080000000,46.372985500000000,0.49100000,0.0469999984,20200612286759,766,7,4,21.4500008,26.3347511,0.0124096218,0.0868921056,3.81881000E-06,30.0,1.24699998,1
766207400013324,126133700,2459015.8387603690,59015.337002300000,16.794819,0.0144735044,0,zr,292.46002080000000,46.372989000000000,0.94800001,0.0729999989,20200615337002,766,7,4,21.5000000,26.2905483,0.0136143044,0.0842696056,4.62067646E-06,30.0,1.08800006,1
766207400013324,127026017,2459024.7621684503,59024.260173600000,16.790276,0.0144535219,0,zr,292.46001500000000,46.372980700000000,0.75999999,0.0579999983,20200624260174,766,7,4,21.3799992,26.2277851,0.0141989794,0.0841779560,5.19384594E-06,30.0,1.22399998,1
766207400013324,127338793,2459027.8900082326,59027.387939800000,16.804432,0.0145160658,0,zr,292.46002080000000,46.372986900000000,0.58200002,0.0410000011,20200627387940,766,7,4,21.5900002,26.2321568,0.0124052865,0.0824374631,3.75883451E-06,30.0,1.03600001,1
766207400013324,127934744,2459033.8496360253,59033.347442100000,16.786423,0.0144366398,0,zr,292.46000320000000,46.372994300000000,0.53399998,0.0350000001,20200703347431,766,7,4,20.7700005,26.2979832,0.0120759541,0.0831113830,3.57046974E-06,30.0,1.03299999,1
766207400013324,128228751,2459036.7897600844,59036.287511600000,16.798733,0.0144907916,0,zr,292.46002240000000,46.372982600000000,0.52899998,0.0439999998,20200706287465,766,7,4,20.6399994,26.3025780,0.0146285389,0.0745094344,5.26846134E-06,30.0,1.07599998,1
766207400013324,128526243,2459039.7647291822,59039.262430600000,16.796459,0.0144807398,0,zr,292.46002490000000,46.372974200000000,0.79200000,0.0750000030,20200709262361,766,7,4,21.3099995,26.2899590,0.0141040739,0.0843470469,4.96940675E-06,30.0,1.10500002,1
766207400013324,128838300,2459042.8853547764,59042.383009300000,16.796204,0.0144796157,0,zr,292.46002580000000,46.372994800000000,0.63499999,0.0560000017,20200712382905,766,7,4,21.2700005,26.2718849,0.0120046288,0.0819992721,3.52743314E-06,30.0,1.06599998,1
766207400013324,129134871,2459045.8510998343,59045.348715300000,16.797699,0.0144862179,0,zr,292.46002180000000,46.372990200000000,0.73699999,0.0769999996,20200715348669,766,7,4,21.3999996,26.3435307,0.0125045786,0.0854423195,3.89963270E-06,30.0,1.04100001,1
766207400013324,129439223,2459048.8946526926,59048.392233800000,16.783438,0.0144236013,0,zr,292.46000240000000,46.372979500000000,1.00399995,0.0909999982,20200718392141,766,7,4,21.5699997,26.3303776,0.0150163304,0.0825011134,5.47407171E-06,30.0,1.10899997,1
766207400013324,129735756,2459051.8600161313,59051.357569400000,16.779144,0.0144049134,0,zr,292.46001580000000,46.372986600000000,0.63300002,0.0570000000,20200721357558,766,7,4,21.5400009,26.3118649,0.0125316055,0.0877669752,3.85575322E-06,30.0,1.06500006,1
766207400013324,130033935,2459054.8418209050,59054.339351900000,16.793016,0.0144655667,0,zr,292.46002600000000,46.372991500000000,0.86299998,0.0480000004,20200724339248,766,7,4,21.4699993,26.3296089,0.0123742418,0.0909109935,3.79187031E-06,30.0,1.05400002,1
766207400013324,130333739,2459057.8398813703,59057.337395800000,16.807804,0.0145310862,0,zr,292.46002940000000,46.372982400000000,0.58600003,0.0340000018,20200727337292,766,7,4,21.4899998,26.3116646,0.0124330912,0.0876344070,3.77974993E-06,30.0,1.05999994,1
766207400013324,130640423,2459060.9067325084,59060.404236100000,16.777538,0.0143979369,0,zr,292.46001250000000,46.372988500000000,1.01900005,0.0460000001,20200730404213,766,7,4,21.5799999,26.3020039,0.0149268955,0.0835761577,5.75088052E-06,30.0,1.23599994,1
766207400013324,130933901,2459063.8415172770,59063.339016200000,16.800838,0.0145001132,0,zr,292.46001370000000,46.372988500000000,0.68099999,0.0320000015,20200802338646,766,7,4,20.3999996,26.3302593,0.0124837263,0.0802509040,3.89273009E-06,30.0,1.08599997,1
766207400013324,131522265,2459069.7251438694,59069.222650500000,16.783035,0.0144218486,0,zr,292.46001510000000,46.372979100000000,1.03600001,0.0989999995,20200808222581,766,7,4,21.4300003,26.3302898,0.0146322353,0.0884497687,5.26120130E-06,30.0,1.04700005,1
766207400013324,131832453,2459072.8270171317,59072.324537000000,16.786036,0.0144349458,0,zr,292.46002220000000,46.372980100000000,0.75300002,0.0670000017,20200811324502,766,7,4,21.2999992,26.3002892,0.0119022941,0.0824684277,3.50785263E-06,30.0,1.10399997,1
766207400013324,132129914,2459075.8016050244,59075.299143500000,16.765347,0.0143453423,0,zr,292.46000710000000,46.372989000000000,0.97500002,0.0509999990,20200814299120,766,7,4,21.3400002,26.2479630,0.0135678956,0.0868050680,4.65492758E-06,30.0,1.07500005,1
766207400013324,132427555,2459078.7779927184,59078.275555600000,16.745382,0.0142604792,0,zr,292.46001970000000,46.372982600000000,0.96899998,0.0489999987,20200817275532,766,7,4,21.4699993,26.2563648,0.0126261944,0.0857728645,3.95452207E-06,30.0,1.05499995,1
766207400013324,132736052,2459081.8629265088,59081.360520800000,16.750586,0.0142824491,0,zr,292.46001560000000,46.372984500000000,0.52100003,-0.0080000004,20200820360440,766,7,4,21.0400009,26.1056118,0.0130084567,0.0872215033,4.20718789E-06,30.0,1.29200006,1
766207400013324,133028251,2459084.7848820193,59084.282511600000,16.745045,0.0142590590,0,zr,292.46000730000000,46.372987400000000,1.04100001,0.0949999988,20200823282500,766,7,4,21.2900009,26.1886768,0.0128875226,0.0827836841,4.10400344E-06,30.0,1.08700001,1
766207400013324,133327373,2459087.7760670963,59087.273738400000,16.758781,0.0143172638,0,zr,292.46001970000000,46.372994400000000,0.39500001,0.0170000009,20200826273738,766,7,4,20.9899998,26.1614685,0.0141418688,0.0823224559,4.99086309E-06,30.0,1.08599997,1
766207400013324,133921266,2459093.7148916550,59093.212662000000,16.770306,0.0143666649,0,zr,292.46001040000000,46.372988800000000,0.55599999,0.0320000015,20200901212639,766,7,4,20.5100002,26.3050499,0.0137335751,0.0781142041,4.69816587E-06,30.0,1.03799999,1
