oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
473201200005489,159024624,2459344.7506294010,59344.246250000000,13.1710396,0.0123065300,0,zr,187.2779177,2.0524102000000000,0.819000006,0.01999999955,20210510246250,473,1,2,21.6000004,26.1646595,0.0227436572,0.097283117,1.01626210E-05,30.0,1.174,1
473201200005489,159517612,2459349.6801588377,59349.176122700000,13.1487312,0.0123335086,0,zr,187.2779315,2.0524123000000000,0.252000004,0.01099999994,20210515176123,473,1,2,21.5900002,26.1781006,0.0233068485,0.103591397,1.06922926E-05,30.0,1.144,1
473201200005489,159823818,2459352.7419921043,59352.238182900000,13.1649580,0.0123138726,0,zr,187.2779404,2.0524162000000000,0.137999997,0.00100000005,20210518238171,473,1,2,20.4099998,26.1287460,0.0287240837,0.107086338,1.60211894E-05,30.0,1.204,1
473201200005489,160021134,2459354.7150003994,59354.211342600000,13.1835823,0.0122914193,0,zr,187.2779307,2.0524205000000000,0.234999999,-0.00300000003,20210520211343,473,1,2,20.7000008,26.2078342,0.0269650966,0.101457544,1.45047225E-05,30.0,1.162,1
473201200005489,160431006,2459358.8134005475,59358.310069400000,13.2041531,0.0122667253,0,zr,187.2779227,2.0524274000000000,0.382999986,0.00700000022,20210524310069,473,1,2,19.4799995,26.1058235,0.0443552621,0.108822070,4.38564166E-05,30.0,1.764,1
473201200005489,160721395,2459361.7170489854,59361.213958300000,13.1713543,0.0123061519,0,zr,187.2779327,2.0524155000000000,0.485000014,0.00200000009,20210527213935,473,1,2,20.8099995,26.2516479,0.0253275074,0.100067504,1.25348733E-05,30.0,1.205,1
473201200005489,160920672,2459363.7096460653,59363.206724500000,13.1858454,0.0122886971,0,zr,187.2779358,2.0524147000000000,0.509000003,-0.00200000009,20210529206725,473,1,2,21.4500008,26.2411842,0.0211009774,0.100563854,8.64279446E-06,30.0,1.200,1
473201200005489,161319219,2459367.6947732850,59367.192199100000,13.2039967,0.0122669106,0,zr,187.2779307,2.0524053000000000,0.632000029,0.03599999845,20210602192199,473,1,2,21.2800007,26.0519848,0.0280827265,0.100249477,1.53578585E-05,30.0,1.192,1
473201200005489,161520722,2459369.7096164810,59369.207222200000,13.2111931,0.0122582978,0,zr,187.2779284,2.0524148000000000,0.568000019,-0.02199999988,20210604207199,473,1,2,21.5000000,26.1885471,0.0209236890,0.095568746,8.61678836E-06,30.0,1.250,1
473201200005489,161921116,2459373.7131983350,59373.211169000000,13.1868458,0.0122874938,0,zr,187.2779238,2.0524202000000000,0.561999977,0.05999999866,20210608211123,473,1,2,21.2999992,26.2005367,0.0225131661,0.104442112,9.93201138E-06,30.0,1.309,1
473201200005489,162321103,2459377.7126863740,59377.211030100000,13.1636543,0.0123154484,0,zr,187.2779390,2.0524155000000000,0.680999994,0.06300000101,20210612210984,473,1,2,21.5100002,26.2159824,0.0241876878,0.100516610,1.13903352E-05,30.0,1.363,1
473201200005489,162521287,2459379.7143373378,59379.212870400000,13.1632662,0.0123159159,0,zr,187.2779364,2.0524091000000000,0.944000006,0.01600000076,20210614212870,473,1,2,21.3899994,26.1879997,0.0263933409,0.102813087,1.34798584E-05,30.0,1.406,1
473201200005489,163123744,2459385.7383314073,59385.237442100000,13.2091684,0.0122607201,0,zr,187.2779311,2.0524222000000000,0.561999977,0.02800000086,20210620237419,473,1,2,19.9500008,26.1353760,0.0382641107,0.099702753,2.88942392E-05,30.0,1.778,1
473201200005489,163321782,2459387.7185217394,59387.217824100000,13.1577539,0.0123225804,0,zr,187.2779295,2.0524195000000000,0.490999997,0.02899999917,20210622217755,473,1,2,20.2299995,26.0754509,0.0347307511,0.104909733,2.38975335E-05,30.0,1.617,1
473201200005489,163919333,2459393.6934500190,59393.193333300000,13.1654053,0.0123133333,0,zr,187.2779550,2.0524138000000000,0.644999981,0.02400000021,20210628193310,473,1,2,21.1700001,26.1315231,0.0237983894,0.111720748,1.10935198E-05,30.0,1.542,1
