|BAT_NAME|RA|DEC|SNR|COUNTERPART_NAME|OTHER_NAME|CTPT_RA|CTPT_DEC|FLUX|FLUX_LO|FLUX_HI|CONTA|GAMM|GAMM|GAMM|CHI_SQ_R|REDSHIF|LUM|ASSOC_STREN|CL2|TYPE
20|SWIFTJ0034.6-0422|8.633|-4.407|7.10|2MASXJ00343284-0424117||8.6368|-4.4033|16.38|12.14|21.04|0.00|1.89|1.55|2.27|0.80|0.0740|44.34|0|6|Galaxy
21|SWIFTJ0036.0+5951|8.965|59.844|17.54|QSOB0033+595|1ES0033+595|8.9694|59.8346|24.83|22.22|27.61|0.00|2.87|2.68|3.09|0.80|0.0860|44.66|0|7|BLLac
22|SWIFTJ0036.3+4540|9.082|45.635|7.24|CGCG535-012||9.0874|45.6650|15.58|11.71|19.83|0.00|1.80|1.48|2.15|1.80|0.0476|43.92|0|4|Sy1.2
23|SWIFTJ0037.2+6123|9.331|61.342|9.68|BD+6073|IGRJ0370+6122|9.2902|61.3601|17.29|13.96|20.89|0.00|2.29|2.01|2.61|2.70|0.0000|NULL|4|13|HMXB
24|SWIFTJ0038.4+2337|9.647|23.599|9.28|Mrk344||9.6339|23.6133|18.97|14.88|23.42|0.00|1.99|1.70|2.32|0.20|0.0249|43.43|0|2|Galaxy
25|SWIFTJ0041.0+2444|10.143|24.797|5.23|SWIFTJ004039.9+244539|NVSSJ004040+244535|10.1668|24.7615|7.67|4.88|11.13|0.00|2.69|2.08|3.56|0.50|-1.0000|NULL|0|0|SRC/Radio
26|SWIFTJ0041.9-0921|10.463|-9.350|5.57|ABELL85||10.4075|-9.3425|5.96|4.16|8.27|0.00|4.63|3.40|6.97|0.40|0.0551|43.63|4|3|GalaxyCluster
27|SWIFTJ0042.6+4112|10.656|41.195|6.83|SWIFTJ0042.7+4111||10.6679|41.2002|9.65|7.04|12.75|0.00|2.97|2.44|3.69|1.60|-1.0000|NULL|7|0|inM31
28|SWIFTJ0042.9-2332|10.709|-23.551|21.92|NGC235A||10.7200|-23.5410|47.65|43.30|52.15|0.00|1.86|1.75|1.99|2.10|0.0222|43.73|0|4|Sy1
29|SWIFTJ0042.9+3016A|10.746|30.259|7.14|2MASXJ00430184+3017195|IRASF00403+3000|10.7578|30.2888|7.72|0.00|0.00|0.62|2.75|0.00|0.00|0.40|-1.0000|NULL|0|2|Galaxy
30|SWIFTJ0042.9+3016B|10.746|30.259|7.14|2MASXJ00423991+3017515||10.6663|30.2976|10.31|0.00|0.00|1.17|0.96|0.00|0.00|0.30|0.1408|44.74|0|8|Sy1
31|SWIFTJ0042.9-1135|10.750|-11.569|4.82|MCG-02-02-095||10.7865|-11.6010|8.95|5.37|13.19|0.00|2.23|1.67|3.00|0.80|0.0189|42.86|0|5|Sy2
32|SWIFTJ0046.2-4008|11.544|-40.094|7.72|ESP39607||11.5860|-40.0970|12.98|9.48|16.88|0.00|2.04|1.68|2.45|0.90|0.2013|45.18|0|2|Galaxy
33|SWIFTJ0048.8+3155|12.217|31.961|73.93|Mrk348||12.1964|31.9570|156.04|151.87|160.25|0.00|1.90|1.86|1.93|6.90|0.0150|43.90|0|5|Sy2/FSRQ
34|SWIFTJ0051.6+2928|12.899|29.471|5.50|MCG+05-03-013||12.8959|29.4013|9.81|6.20|14.07|0.00|2.18|1.64|2.90|1.10|0.0360|43.47|0|4|Sy1.0
35|SWIFTJ0051.8-7320|12.904|-73.282|10.24|RXJ0052.1-7319|2E0050.4-7335|13.0921|-73.3181|15.55|12.56|18.84|0.00|2.53|2.22|2.87|1.50|0.0000|NULL|0|13|HMXB
36|SWIFTJ0051.9+1724|12.965|17.425|15.73|Mrk1148||12.9783|17.4329|29.70|25.89|33.71|0.00|2.17|1.99|2.36|1.40|0.0640|44.47|0|4|Sy1
37|SWIFTJ0052.3-2730|13.044|-27.467|5.03|2MASXJ00520383-2723488||13.0158|-27.3969|8.21|4.65|12.69|0.00|2.16|1.51|3.02|2.00|0.0000|NULL|0|2|Galaxy
38|SWIFTJ0053.3-7224|13.330|-72.399|5.06|RXJ0053.8-7226||13.4790|-72.4460|9.40|6.10|13.15|0.00|2.09|1.63|2.67|2.20|0.0000|NULL|4|13|HMXB
39|SWIFTJ0054.9+2524|13.719|25.403|6.81|[HB89]0052+251||13.7171|25.4272|13.70|9.84|18.04|0.00|1.93|1.56|2.35|0.90|0.1550|44.95|0|4|Sy1.2
40|SWIFTJ0055.4+4612|13.816|46.219|15.41|1RXSJ005528.0+461143||13.8329|46.2158|20.62|18.10|23.35|0.00|2.99|2.75|3.26|2.30|0.0000|NULL|0|9|CV/DQHer
41|SWIFTJ0056.7+6043|14.190|60.720|64.14|GammaCas|4U0054+60|14.1772|60.7167|83.29|81.07|85.55|0.00|3.35|3.29|3.42|8.80|0.0000|NULL|1|12|Star/Be
42|SWIFTJ0057.0+6405|14.316|64.026|5.48|NVSSJ005712+635942||14.3036|63.9952|10.16|6.91|13.83|0.00|2.11|1.68|2.62|1.40|-1.0000|NULL|0|0|SRC/RADIO
43|SWIFTJ0059.4+3150|14.990|31.814|14.43|Mrk352||14.9720|31.8269|29.98|25.84|34.32|0.00|1.94|1.76|2.14|0.50|0.0149|43.17|0|4|Sy1
44|SWIFTJ0100.9-4750|15.193|-47.878|9.36|ESO195-IG021NED03||15.1457|-47.8676|16.30|12.68|20.24|0.00|2.00|1.70|2.33|0.60|0.0483|43.95|0|5|Sy1.8
45|SWIFTJ0101.5-0308|15.362|-3.150|5.27|2MASXJ01012440-0308399|SWIFTJ0101.3-0306|15.3517|-3.1445|10.34|6.39|15.08|0.00|2.09|1.55|2.81|0.70|0.0694|44.08|0|5|Sy1.8
46|SWIFTJ0102.6-7242A|15.739|-72.745|8.96|SMC59977|IGRJ01054-7253|16.1725|-72.9013|4.90|2.79|7.33|NULL|2.99|2.31|4.16|2.00|0.0000|NULL|4|13|HMXBinSMC
47|SWIFTJ0102.6-7242B|15.739|-72.745|8.96|XTEJ0103-728||15.7212|-72.7425|12.13|9.90|14.62|0.00|3.16|2.79|3.62|1.20|0.0000|NULL|0|13|HMXB
48|SWIFTJ0103.8-6437|15.958|-64.615|5.33|PKS0101-649||15.8904|-64.6521|11.27|7.21|15.84|0.00|1.62|1.12|2.17|0.80|0.1630|44.92|0|8|FSRQ
49|SWIFTJ0105.5-4213|16.369|-42.167|6.22|MCG-07-03-007||16.3617|-42.2162|11.97|8.14|16.25|0.00|1.75|1.33|2.21|0.70|0.0302|43.40|0|5|Sy2
50|SWIFTJ0106.2-4704|16.429|-47.050|5.13|ESO243-G026||16.4082|-47.0717|7.25|4.31|10.85|0.00|2.41|1.80|3.31|0.40|0.0193|42.79|0|2|Galaxy
51|SWIFTJ0105.7-1414|16.431|-14.237|6.90|2MASXJ01053882-1416133||16.4117|-14.2704|13.07|9.32|17.34|0.00|2.21|1.79|2.72|1.10|0.0660|44.14|0|4|Sy1
52|SWIFTJ0105.6-3433|16.443|-34.571|5.46|HE0103-3447||16.4442|-34.5292|8.56|5.15|12.55|0.00|2.28|1.71|3.14|1.20|0.0570|43.82|0|4|Sy1
53|SWIFTJ0106.8+0639|16.689|6.668|7.77|2MASXJ01064523+0638015|UM085|16.6886|6.6339|15.45|11.16|20.26|0.00|2.01|1.60|2.48|1.80|0.0410|43.78|0|5|Sy2
55|SWIFTJ0107.7-1137B|16.943|-11.622|6.84|2MASXJ01073963-1139117||16.9152|-11.6532|10.48|0.00|0.00|0.26|1.70|0.00|0.00|1.40|0.0475|43.75|0|5|Sy2doublesource
56|SWIFTJ0107.7-1137C|16.943|-11.622|6.84|1RXSJ010713.0-113554|2MASXJ01071376-1136027|16.8074|-11.6007|4.09|0.00|0.00|1.81|3.03|0.00|0.00|1.20|-1.0000|NULL|0|2|
57|SWIFTJ0109.0+1320|17.185|13.360|13.13|3C033||17.2203|13.3372|27.78|23.47|32.34|0.00|1.94|1.73|2.16|0.10|0.0597|44.38|4|5|Sy2
58|SWIFTJ0111.4-3808|17.853|-38.127|11.43|NGC424||17.8650|-38.0830|20.72|17.12|24.57|0.00|2.03|1.80|2.28|0.70|0.0118|42.81|4|4|Sy1Sy2
59|SWIFTJ0113.8+2515|18.448|25.286|5.02|87GB011040.5+250307||18.3446|25.3148|9.89|5.56|15.06|0.00|1.79|1.13|2.57|0.40|-1.0000|NULL|0|6|AGN/FSRS
60|SWIFTJ0113.8+1313|18.457|13.239|7.33|Mrk975||18.4626|13.2717|16.54|12.24|21.33|0.00|1.88|1.52|2.28|1.50|0.0496|43.98|0|4|Sy1
61|SWIFTJ0113.8-1450|18.487|-14.835|12.50|Mrk1152||18.4587|-14.8456|27.19|23.04|31.57|0.00|1.95|1.74|2.17|0.80|0.0527|44.25|4|4|Sy1.5
62|SWIFTJ0114.5-3236|18.563|-32.633|6.85|IC1657||18.5292|-32.6509|14.32|9.95|19.18|0.00|1.85|1.41|2.36|0.90|0.0120|42.66|0|5|Sy2
63|SWIFTJ0114.4-5522|18.575|-55.401|8.65|NGC454E|2MASXJ01142491-5523497|18.6038|-55.3971|17.46|13.60|21.64|0.00|1.80|1.50|2.12|0.40|0.0121|42.76|0|5|Sy2
64|SWIFTJ0116.3+3104|19.040|31.067|6.20|NGC452||19.0618|31.0338|11.97|8.31|16.11|0.00|2.04|1.64|2.49|1.30|0.0166|42.87|0|2|GalaxyPair
65|SWIFTJ0116.5-1235|19.136|-12.616|5.35|2MASXJ01163118-1236171||19.1298|-12.6047|9.75|6.32|13.72|0.00|2.24|1.75|2.89|1.40|-1.0000|NULL|0|2|Galaxy
66|SWIFTJ0117.8-7327|19.296|-73.443|318.17|SMCX-1|4U0115-73|19.2714|-73.4433|414.67|412.42|416.93|0.00|3.30|3.29|3.31|685.60|0.0000|NULL|0|13|HMXB/NS
67|SWIFTJ0117.8+6516|19.480|65.306|101.36|2S0114+650|V662Cas|19.5112|65.2916|157.95|154.96|160.97|0.00|2.59|2.56|2.62|17.20|0.0000|NULL|1|13|HMXB/NS
68|SWIFTJ0118.5+6344|19.615|63.736|41.10|4U0115+634|V635Cas|19.6330|63.7400|54.38|52.12|56.69|0.00|3.29|3.19|3.39|5.60|0.0000|NULL|0|13|HMXB
69|SWIFTJ0122.0-2818|20.507|-28.292|5.97|[HB89]0119-286||20.4646|-28.3492|15.07|10.02|20.87|0.00|1.39|0.81|1.94|1.20|0.1160|44.72|0|8|Sy1,QSO
70|SWIFTJ0122.8+5003|20.612|50.089|7.60|MCG+08-03-018||20.6435|50.0550|12.63|9.52|16.13|0.00|2.39|2.03|2.82|0.80|0.0204|43.08|0|5|Sy2
71|SWIFTJ0122.9+3420|20.783|34.380|9.33|SHBLJ012308.7+342049|2E0120.3+3404|20.7860|34.3469|13.36|10.21|16.92|0.00|2.67|2.27|3.19|1.00|0.2720|45.49|0|7|BLLac
72|SWIFTJ0123.8-3504|20.944|-35.071|28.76|NGC526A||20.9766|-35.0654|63.25|59.04|67.54|0.00|1.79|1.70|1.87|2.00|0.0191|43.72|0|4|Sy1.5
73|SWIFTJ0123.9-5846|20.947|-58.785|27.41|Fairall9||20.9408|-58.8057|49.46|45.98|53.03|0.00|2.03|1.94|2.13|2.30|0.0470|44.41|0|4|Sy1
74|SWIFTJ0124.5+3350|21.110|33.775|9.80|NGC513||21.1119|33.7995|20.35|16.24|24.79|0.00|1.90|1.64|2.20|0.60|0.0195|43.24|4|5|Sy2
75|SWIFTJ0126.0+3511|21.473|35.171|5.04|1RXSJ012556.6+351039||21.4832|35.1761|9.83|6.23|14.06|0.00|2.03|1.53|2.62|1.50|0.3120|45.49|0|8|QSO
76|SWIFTJ0126.2+1517|21.489|15.275|6.16|RHS10||21.4919|15.3038|13.36|9.36|17.83|0.00|2.00|1.60|2.48|1.90|0.1110|44.63|0|4|Sy1
77|SWIFTJ0127.5+1910|21.877|19.173|7.39|Mrk359||21.8856|19.1788|13.32|9.87|17.21|0.00|2.36|1.99|2.83|2.20|0.0174|42.96|0|4|Sy1.5
78|SWIFTJ0128.0-1850|22.001|-18.826|8.77|MCG-03-04-072||22.0280|-18.8086|19.74|15.39|24.46|0.00|1.90|1.59|2.25|0.60|0.0460|43.99|0|4|Sy1/NLSy1
79|SWIFTJ0128.4+1631|22.098|16.502|6.44|CGCG459-058||22.1017|16.4593|14.72|10.56|19.36|0.00|1.89|1.51|2.31|0.80|0.0386|43.71|0|2|Galaxy
80|SWIFTJ0128.9-6039|22.192|-60.653|5.48|2MASXJ01290761-6038423||22.2818|-60.6450|9.40|6.29|12.96|0.00|2.10|1.65|2.65|0.70|-1.0000|NULL|0|2|Galaxy
81|SWIFTJ0130.0-4218|22.430|-42.324|6.06|ESO244-IG030||22.4636|-42.3265|8.86|6.00|12.23|0.00|2.43|1.95|3.07|0.20|0.0256|43.12|0|5|Sy2
82|SWIFTJ0130.2-4552|22.539|-45.843|4.86|2MASXJ01302127-4601448||22.5887|-46.0292|6.72|2.98|11.28|0.00|1.58|0.74|2.47|0.70|-1.0000|NULL|0|2|Galaxy
83|SWIFTJ0131.8-3307|22.980|-33.071|6.86|ESO353-G009||22.9601|-33.1193|14.41|10.49|18.74|0.00|1.85|1.48|2.25|0.70|0.0165|42.95|0|5|Sy2
84|SWIFTJ0134.1-3625|23.481|-36.504|22.32|NGC612||23.4906|-36.4933|54.99|50.56|59.53|0.00|1.56|1.46|1.67|1.20|0.0298|44.05|0|5|Sy2
85|SWIFTJ0134.8-0430|23.697|-4.520|9.32|2MASXJ01344565-0430134|1RXSJ013445.2-043017|23.6902|-4.5036|22.68|18.06|27.62|0.00|1.68|1.42|1.97|1.60|0.0790|44.54|0|6|AGN
86|SWIFTJ0136.5+3906|24.123|39.152|4.85|B30133+388||24.1354|39.0999|11.88|7.53|16.80|0.00|1.60|1.08|2.15|0.70|-1.0000|NULL|0|7|BLLac
87|SWIFTJ0138.6-4001|24.659|-39.991|32.94|ESO297-018||24.6548|-40.0114|68.66|64.61|72.80|0.00|1.76|1.68|1.84|2.80|0.0252|44.00|0|5|Sy2
88|SWIFTJ0138.8+2925|24.677|29.440|4.90|2MASXJ01392400+2924067|IRASF01365+2908|24.8500|29.4019|6.33|3.08|10.81|0.00|2.38|1.54|3.70|0.80|0.0759|43.95|0|2|Galaxy
89|SWIFTJ0140.6-5321|25.161|-53.344|7.98|2MASXJ01402676-5319389||25.1116|-53.3276|12.44|9.38|15.88|0.00|2.25|1.89|2.66|0.10|0.0744|44.23|0|5|Sy2
90|SWIFTJ0142.0+3922|25.484|39.385|6.57|B20138+39B||25.4906|39.3914|13.61|9.58|18.16|0.00|1.95|1.53|2.44|0.60|0.0800|44.33|0|4|Sy1
91|SWIFTJ0146.0+6143|26.548|61.747|25.49|PSRJ0146+61||26.5934|61.7509|109.10|103.55|114.71|0.00|0.91|0.84|0.99|1.70|0.0000|NULL|0|10|AXP
92|SWIFTJ0149.2+2153A|27.291|21.858|6.83|2MASXJ01485967+2145343||27.2487|21.7593|8.69|0.00|0.00|0.23|2.14|0.00|0.00|1.50|-1.0000|NULL|0|2|Galaxy
93|SWIFTJ0149.2+2153B|27.291|21.858|6.83|NGC678||27.3536|21.9973|8.17|0.00|0.00|0.26|1.86|0.00|0.00|0.70|0.0095|42.21|0|2|Galaxy
94|SWIFTJ0149.9-5019|27.384|-50.339|5.72|2MASXJ01492228-5015073||27.3428|-50.2521|12.54|8.36|17.17|0.00|1.46|0.99|1.96|0.90|-1.0000|NULL|0|2|Galaxy
95|SWIFTJ0151.3-3610|27.888|-36.196|4.96|ESO354-G004||27.9245|-36.1878|8.22|5.08|11.95|0.00|2.23|1.70|2.96|0.40|0.0335|43.33|0|5|Sy1
96|SWIFTJ0152.8-0329|28.211|-3.415|10.71|MCG-01-05-047||28.2042|-3.4468|22.86|18.77|27.26|0.00|1.92|1.69|2.17|2.00|0.0172|43.18|0|5|Sy2
97|SWIFTJ0154.9-2707|28.652|-27.141|8.93|2MASSiJ0154403-270701||28.6679|-27.1169|15.33|11.86|19.15|0.00|2.20|1.89|2.57|0.40|0.7900|46.65|0|8|QSO
98|SWIFTJ0155.4+0228|28.841|2.486|5.86|1ES0152+022||28.8538|2.4712|11.33|7.59|15.62|0.00|2.13|1.67|2.69|0.10|0.0820|44.28|0|4|Sy1
99|SWIFTJ0157.2+4715|29.260|47.272|6.87|2MASXJ01571097+4715588||29.2956|47.2666|15.97|11.93|20.38|0.00|1.82|1.48|2.18|0.80|0.0000|NULL|0|2|Galaxy
100|SWIFTJ0157.8-7300|29.298|-73.003|5.87|IGRJ01572-7259||29.3173|-72.9757|8.68|5.85|12.04|0.00|2.52|2.00|3.22|1.10|0.0000|NULL|0|13|HMXB
101|SWIFTJ0200.3+2428|30.122|24.476|5.75|UGC01479||30.0794|24.4737|14.36|9.76|19.47|0.00|1.75|1.30|2.25|1.10|0.0164|42.94|0|5|Sy2
102|SWIFTJ0201.0-0648|30.262|-6.806|35.32|NGC788||30.2769|-6.8155|80.13|75.65|84.71|0.00|1.81|1.74|1.88|3.00|0.0136|43.52|4|5|Sy2
103|SWIFTJ0202.4+6824A|30.601|68.393|4.96|2MASXJ02021731+6821460||30.5720|68.3620|11.53|0.00|0.00|0.20|1.20|0.00|0.00|3.10|0.0119|42.56|0|2|Galaxy
104|SWIFTJ0202.4+6824B|30.601|68.393|4.96|2MASXJ02013241+6824219||30.3850|68.4061|7.68|0.00|0.00|3.68|1.39|0.00|0.00|1.40|0.0152|42.60|0|2|Galaxy
105|SWIFTJ0203.1-2359|30.754|-24.033|6.27|1RXSJ020301.2-240213||30.7537|-24.0367|10.78|7.41|14.72|0.00|2.28|1.81|2.87|0.60|0.1781|44.98|0|4|Sy1.5
106|SWIFTJ0206.2-0019|31.554|-0.279|13.74|Mrk1018||31.5666|-0.2914|32.97|28.28|37.88|0.00|1.74|1.56|1.94|0.50|0.0424|44.14|0|4|Sy1.5
107|SWIFTJ0207.0+2931|31.754|29.509|8.11|3C59|2MASXJ02070218+2930459|31.7911|29.5280|17.15|12.94|21.79|0.00|1.95|1.61|2.32|0.70|0.1096|44.72|0|4|Sy1
108|SWIFTJ0208.4-7428A|31.957|-74.453|5.69|1WGAJ0206.7-7427|SWIFTJ020645.7-742745|31.6904|-74.4626|5.39|0.00|0.00|0.33|2.77|0.00|0.00|1.40|0.0000|NULL|0|13|HMXB
109|SWIFTJ0208.4-7428B|31.957|-74.453|5.69|RXJ0209.6-7427||32.4010|-74.4520|5.12|0.00|0.00|0.50|2.17|0.00|0.00|0.50|-1.0000|NULL|6|15|XRBinSMC
110|SWIFTJ0208.2+4452|31.980|44.822|5.27|MCG+07-05-016||31.9649|44.8438|10.48|6.99|14.48|0.00|2.15|1.69|2.71|1.30|0.0217|43.05|0|2|Galaxy
111|SWIFTJ0208.5-1738|32.147|-17.617|5.22|NVSSJ020834-173933|IGRJ02086-1742|32.1455|-17.6594|9.12|5.62|13.12|0.00|1.99|1.49|2.59|0.70|0.1290|44.60|0|4|Sy1.2
112|SWIFTJ0209.5-1010|32.376|-10.161|5.60|ARP318||32.3805|-10.1585|15.43|10.65|20.73|0.00|1.50|1.06|1.95|0.50|0.0132|42.78|0|5|GGROUP/LINER/Sy2
113|SWIFTJ0209.7+5226|32.407|52.459|24.81|LEDA138501||32.3929|52.4425|51.28|47.43|55.25|0.00|2.07|1.97|2.18|1.20|0.0492|44.47|0|4|Sy1
114|SWIFTJ0211.1-4944|32.731|-49.728|5.40|ESO197-G027||32.7189|-49.6985|7.88|4.86|11.42|0.00|2.17|1.65|2.85|0.40|0.0481|43.63|0|5|Sy2
115|SWIFTJ0213.7+5147|33.485|51.770|5.00|2MASXJ02141794+5144520|1RXSJ021417.8+514457|33.5747|51.7478|8.02|5.33|11.26|0.01|2.70|2.14|3.44|4.00|0.0490|43.66|0|7|BLLac
116|SWIFTJ0214.6-0049|33.657|-0.777|7.10|Mrk590||33.6400|-0.7670|16.66|12.23|21.56|0.00|1.77|1.41|2.15|0.40|0.0264|43.42|0|4|Sy1.2
117|SWIFTJ0214.9-6432|33.726|-64.509|6.80|2MASXJ02143730-6430052||33.6557|-64.5014|12.23|8.47|16.46|0.00|1.83|1.40|2.32|0.80|0.0740|44.21|0|4|Sy1
118|SWIFTJ0215.6-1301|33.903|-13.011|5.34|3C062||33.9062|-12.9918|13.92|9.40|19.01|0.00|1.60|1.13|2.09|0.60|0.1470|44.91|4|5|Sy2
119|SWIFTJ0216.3+5128|34.123|51.435|8.23|2MASXJ02162987+5126246||34.1243|51.4402|18.96|14.76|23.54|0.00|1.90|1.58|2.24|0.40|0.0288|43.56|0|2|likelySy2
120|SWIFTJ0218.0+7348|34.319|73.821|13.12|[HB89]0212+735||34.3784|73.8257|34.51|30.04|39.15|0.00|1.55|1.37|1.73|2.20|2.3670|48.18|0|7|BLLac
121|SWIFTJ0222.6+5222|35.537|52.354|5.09|1RXSJ022206.0+522112|USNO-A1.01350.02324516|35.5258|52.3523|8.30|5.58|11.52|0.00|2.72|2.19|3.47|0.80|0.2000|44.98|0|8|Quasar
122|SWIFTJ0222.3+2509|35.593|25.155|4.86|2MASXJ02223523+2508143||35.6468|25.1374|15.81|10.58|21.61|0.00|1.38|0.90|1.87|1.30|-1.0000|NULL|0|2|Galaxy
123|SWIFTJ0223.4+4551|35.831|45.809|7.44|VZw232||35.8913|45.8186|14.70|10.57|19.33|0.00|1.97|1.56|2.44|0.30|-1.0000|NULL|0|2|Galaxytriple
124|SWIFTJ0225.0-2312|36.211|-23.222|5.93|PKS0222-23||36.2612|-23.2133|10.36|6.84|14.37|0.00|2.09|1.63|2.67|0.50|0.2322|45.22|0|8|QSOSy1
125|SWIFTJ0225.0+1847|36.272|18.807|12.26|RBS0315||36.2695|18.7802|31.66|26.82|36.76|0.00|1.74|1.53|1.95|1.60|2.6900|48.27|0|7|BLLac
126|SWIFTJ0225.8-6315|36.328|-63.212|7.94|Fairall296|ABELLS0261|36.2876|-63.2240|14.75|11.18|18.67|0.00|1.85|1.53|2.20|1.40|0.0580|44.08|0|4|Sy1inGalaxyCluster
127|SWIFTJ0226.4-2821|36.590|-28.329|6.26|AM0224-283||36.6081|-28.3503|13.12|9.15|17.56|0.00|1.81|1.39|2.29|1.20|0.0598|44.05|0|4|Sy1GPAIR
128|SWIFTJ0227.0+2346|36.745|23.773|6.35|MCG+04-06-043||36.7275|23.7997|10.78|7.20|15.18|0.00|2.49|1.93|3.23|1.60|0.0333|43.44|0|2|Galaxy
129|SWIFTJ0228.1+3118|37.078|31.316|27.99|NGC931||37.0603|31.3117|60.55|56.46|64.75|0.00|2.10|2.01|2.20|3.80|0.0167|43.58|4|4|Sy1.5
130|SWIFTJ0230.2-0900|37.546|-8.998|5.47|Mrk1044||37.5227|-8.9979|12.92|8.70|17.65|0.00|1.76|1.32|2.25|0.60|0.0165|42.90|0|4|Sy1
131|SWIFTJ0231.6-3645|37.915|-36.666|8.84|IC1816||37.9625|-36.6721|19.25|15.25|23.56|0.00|1.71|1.43|2.00|0.80|0.0170|43.10|0|5|Sy1.8
132|SWIFTJ0232.8+2020|38.193|20.333|12.18|QSOB0229+200|1ES0229+200|38.2026|20.2882|24.46|20.23|29.00|0.00|2.16|1.91|2.44|0.70|0.1396|45.10|0|7|BLLac
133|SWIFTJ0234.1+3233|38.598|32.498|11.35|NGC973||38.5838|32.5056|31.22|26.42|36.27|0.00|1.74|1.54|1.96|0.70|0.0162|43.27|0|5|Sy2
