,RA,DEC,CL2,TYPE,,
503,158.6,73,2,Galaxy,,158.6|73
504,158.3,52.9,2,Galaxy,,158.3|52.9
505,159.4,-56.8,13,HMXB,,159.4|-56.8
506,159.7,-49.8,4,Sy1,,159.7|-49.8
507,159.9,-5.1,9,CV/DQHer,,159.9|-5.1
508,160.1,-46.4,5,Sy2,,160.1|-46.4
509,160.3,-17.6,2,Galaxy,,160.3|-17.6
510,160.5,0.7,5,Sy2,,160.5|0.7
511,160.9,11.1,4,Sy1,,160.9|11.1
512,161,70.4,5,Sy2,,161|70.4
513,161.3,-59.7,12,Star,,161.3|-59.7
514,161.2,38.2,5,Sy1.9,,161.2|38.2
515,161.2,-60.4,1,SRC/X-RAY,,161.2|-60.4
516,161.7,25.9,5,Sy2,,161.7|25.9
517,162.1,-25.2,5,Sy2,,162.1|-25.2
518,162.4,23,5,Sy2,,162.4|23
519,162.8,-17,5,Sy2,,162.8|-17
520,162.9,-17.1,2,Galaxy,,162.9|-17.1
521,163.1,10.6,4,Sy1,,163.1|10.6
522,164.9,65.1,5,Sy2,,164.9|65.1
523,165.3,11,5,Sy1.9,,165.3|11
524,165.9,37.5,4,Sy1,,165.9|37.5
525,165.9,-23.5,7,BLLac,,165.9|-23.5
526,166.1,38.2,7,BLLac,,166.1|38.2
527,166.5,58.9,5,Sy2,,166.5|58.9
528,166.4,58.9,8,QSO/BLAGN,,166.4|58.9
529,166.7,72.6,4,Sy1.5,,166.7|72.6
530,167.7,-28.5,4,Sy1,,167.7|-28.5
531,168.5,9.6,4,Sy1.5,,168.5|9.6
532,168.5,20.4,2,GALAXY/GPAIR,,168.5|20.4
533,168.7,79.7,2,Galaxy,,168.7|79.7
534,168.8,54.4,5,Sy2,,168.8|54.4
535,169.6,-54.6,1,Galactic,,169.6|-54.6
536,169.9,51.6,4,Sy1,,169.9|51.6
537,170.2,-43.3,4,Sy1,,170.2|-43.3
538,170.2,-61.9,13,HMXB,,170.2|-61.9
539,170.3,-60.6,13,HMXB/NS,,170.3|-60.6
540,171.2,-59.3,10,Pulsar,,171.2|-59.3
541,171.4,54.4,4,Sy1,,171.4|54.4
542,171.7,35.3,5,Sy1.9,,171.7|35.3
543,171.8,19.2,5,Sy1.8,,171.8|19.2
544,172.5,-14.8,7,Blazar,,172.5|-14.8
545,172.8,-62.9,13,HMXB,,172.8|-62.9
546,173,-12.5,8,LensedQSO,,173|-12.5
547,173.1,53.1,2,XBONG,,173.1|53.1
548,173.2,10.3,4,Sy1,,173.2|10.3
549,173.2,10.4,8,QSO/RLQ,,173.2|10.4
550,174.1,67.6,7,BLLac,,174.1|67.6
551,174.1,21.6,4,Sy1,,174.1|21.6
552,174.2,-60.1,5,Sy2/LINER,,174.2|-60.1
553,174.6,25.4,5,Sy2,,174.6|25.4
554,174.8,25.6,8,Sy2,,174.8|25.6
555,174.8,59.2,4,Sy1.5,,174.8|59.2
556,174.7,-23.4,6,Sy,,174.7|-23.4
557,174.8,-37.7,4,Sy1,,174.8|-37.7
558,174.9,-65.4,12,RSCVnsystem,,174.9|-65.4
559,174.9,31.9,5,Sy1.8,,174.9|31.9
560,175.3,21.9,4,Sy1,,175.3|21.9
561,175.5,10.3,5,Sy2,,175.5|10.3
562,175.9,71.7,9,CV/DQHer,,175.9|71.7
563,176,-61.2,13,HMXB/NS,,176|-61.2
564,176.1,36.9,4,Sy1,,176.1|36.9
565,176.3,79.7,4,Sy1.2,,176.3|79.7
566,176.4,-18.5,4,Sy1,,176.4|-18.5
567,176.4,59,2,Galaxy,,176.4|59
568,176.5,-69.9,8,QSO,,176.5|-69.9
569,176.9,-62,13,HMXB/NS,,176.9|-62
570,177,-62.2,13,HMXB,,177|-62.2
571,177,9,4,Sy1.5,,177|9
572,177.2,29.6,6,LINER,,177.2|29.6
573,177.3,-4.3,4,Sy1,,177.3|-4.3
574,177.3,53.3,6,BLAGN,,177.3|53.3
575,178,-11.4,4,Sy1,,178|-11.4
576,178.2,-5.2,5,Sy1.8,,178.2|-5.2
577,178.4,49.5,8,QuasarFS,,178.4|49.5
578,179.5,55.5,4,Sy1LINER,,179.5|55.5
579,179.7,42.6,5,Sy2,,179.7|42.6
580,179.9,-20,8,Quasar,,179.9|-20
581,180.2,6.8,5,Sy2,,180.2|6.8
582,180.3,-3.7,4,Sy1,,180.3|-3.7
583,180.7,-53.8,5,Sy2,,180.7|-53.8
584,180.8,44.5,4,Sy1.5,,180.8|44.5
585,181.1,20.3,5,Sy2,,181.1|20.3
586,181.2,27.9,4,Sy1.2,,181.2|27.9
587,181.2,31.2,5,Sy1.9,,181.2|31.2
588,181.5,50,5,Sy1.8,,181.5|50
589,181.6,52.7,6,LINER,,181.6|52.7
590,181.9,33.9,5,Sy2,,181.9|33.9
591,182.3,47.1,5,Sy2,,182.3|47.1
592,182.4,43.7,5,Sy1.9,,182.4|43.7
593,182.5,-46.6,5,Sy1.8,,182.5|-46.6
594,182.6,39.4,4,Sy1.5,,182.6|39.4
595,182.7,38.3,4,Sy1,,182.7|38.3
596,182.8,-39.6,5,Sy2,,182.8|-39.6
597,183.1,-58,9,CV,,183.1|-58
598,183.3,7,6,AGN,,183.3|7
599,183.3,32.6,5,Sy2,,183.3|32.6
600,183.3,32.8,8,QuasarSSRQ,,183.3|32.8
601,183.3,-64.9,13,HMXB/NS,,183.3|-64.9
602,183.4,-60.3,0,,,183.4|-60.3
603,183.5,-5.5,4,Sy1,,183.5|-5.5
604,183.6,29.5,5,Sy2/BINARY,,183.6|29.5
605,184.2,-26.2,5,Sy2/Sy2/Pair,,184.2|-26.2
606,184.3,7.2,4,Sy1,,184.3|7.2
607,184.6,29.8,4,Sy1.5,,184.6|29.8
608,184.7,47.3,5,Sy1.9LINER,,184.7|47.3
609,185.3,30.2,7,BLLac,,185.3|30.2
610,185.4,75.3,7,BLLac,,185.4|75.3
611,185.6,4.2,7,Blazar/FSRQ,,185.6|4.2
612,185.9,2.7,4,Sy1,,185.9|2.7
613,186.2,21.4,7,BlazarLPQ,,186.2|21.4
614,186.4,12.7,5,Sy2,,186.4|12.7
615,186.5,33.5,5,Sy1.9,,186.5|33.5
616,186.7,-62.8,14,LMXB/NS,,186.7|-62.8
617,187,-48.9,1,CV?,,187|-48.9
618,187.3,2.1,7,Blazar,,187.3|2.1
619,187.8,-42.6,0,X-raysrc,,187.8|-42.6
620,187.8,58,2,GALAXY/SBRST/Composit,,187.8|58
621,187.9,-48,4,Sy1,,187.9|-48
622,188,20.2,4,Sy1,,188|20.2
623,188.1,-42.3,4,Sy1,,188.1|-42.3
624,188.7,-64.6,12,Symb/WD,,188.7|-64.6
625,188.9,-39.9,5,Sy2,,188.9|-39.9
626,189.6,-38.7,9,CV/DQHER,,189.6|-38.7
627,189.6,9.5,2,Galaxy,,189.6|9.5
628,189.7,-27.3,5,Sy2,,189.7|-27.3
629,189.8,-16.2,5,Sy2,,189.8|-16.2
630,189.9,-5.3,4,Sy1,,189.9|-5.3
631,190,35,5,Sy2,,190|35
632,190.4,35.1,4,Sy1,,190.4|35.1
633,190.2,-33.6,4,Sy1.5,,190.2|-33.6
634,190.2,27.6,5,Sy2,,190.2|27.6
635,190.4,-57.8,4,Sy1.5,,190.4|-57.8
636,190.7,-63.1,13,HMXB,,190.7|-63.1
637,191.7,54.5,2,"Galaxy,XBONG",,191.7|54.5
638,192,-58.5,5,Sy1.9,,192|-58.5
639,192.4,-59.1,14,LMXB,,192.4|-59.1
640,193.1,-13.4,4,Sy1/NL,,193.1|-13.4
641,193.1,-29.2,9,CV/DQHer,,193.1|-29.2
642,193.3,-41.6,5,Sy2,,193.3|-41.6
643,193.7,-27,5,Sy1.9,,193.7|-27
644,194,-5.8,7,Blazar,,194|-5.8
645,194.4,-69.3,14,LMXB/NS,,194.4|-69.3
646,195,28,3,GalaxyCluster,,195|28
647,195,16.5,4,Sy1Sy2,,195|16.5
648,195.3,-61.6,13,HMXB,,195.3|-61.6
649,195.5,-64,10,Pulsar,,195.5|-64
650,195.7,16.4,4,Sy1.5,,195.7|16.4
651,196,53.8,4,Sy1,,196|53.8
652,196.1,-5.6,5,Sy2,,196.1|-5.6
653,196.1,-10.3,5,Sy2,,196.1|-10.3
654,196.4,-49.5,5,Sy2,,196.4|-49.5
655,196.4,-10.6,8,Sy1.2/FSRQ,,196.4|-10.6
656,196.6,-40.4,4,Sy1.2,,196.6|-40.4
657,196.8,-40.4,2,Galaxy,,196.8|-40.4
658,197.3,11.6,5,Sy2XBONG,,197.3|11.6
659,197.7,-55.9,4,Sy1,,197.7|-55.9
660,197.7,-56.4,2,Galaxy,,197.7|-56.4
661,197.7,8.6,5,Sy2,,197.7|8.6
662,198.3,-11.1,4,Sy1,,198.3|-11.1
663,198.5,36.9,4,Sy1.5,,198.5|36.9
664,198.4,36.6,5,Sy1.9,,198.4|36.6
665,198.8,44.4,5,Sy2,,198.8|44.4
666,199.2,-71.9,2,Sy1,,199.2|-71.9
667,199.6,-63,13,HMXB,,199.6|-63
668,200.2,9,6,AGN,,200.2|9
669,200.6,-16.7,5,Sy1.8,,200.6|-16.7
670,201.4,-43,5,Sy2,,201.4|-43
671,201.7,-62.1,14,LMXB/NS,,201.7|-62.1
672,202.1,-27.3,3,GalaxyCluster,,202.1|-27.3
673,202.8,-25.4,4,Sy1,,202.8|-25.4
674,203,-5.2,8,QSO,,203|-5.2
675,203.2,-77.8,2,Galaxy,,203.2|-77.8
676,203.4,-34,5,Sy2,,203.4|-34
677,203.7,-23.4,5,Sy2,,203.7|-23.4
678,204,3,5,Sy2,,204|3
679,204,-34.3,4,Sy1.2,,204|-34.3
680,204.4,-13,8,BLLAC/HPQ,,204.4|-13
681,204.6,4.5,5,Sy1.9,,204.6|4.5
682,205.3,-14.6,4,Sy1,,205.3|-14.6
683,205.3,67.7,5,Sy2,,205.3|67.7
684,205.3,30.4,5,Sy2Galaxypair,,205.3|30.4
685,205.5,35.7,5,Sy1.9,,205.5|35.7
686,206.1,19.6,5,Sy1.9,,206.1|19.6
687,206.3,41.7,5,Sy2,,206.3|41.7
688,206.6,19.4,4,Sy1,,206.6|19.4
689,206.5,73.3,8,Sy1/QSO,,206.5|73.3
690,206.9,-32.9,3,GalaxyCluster,,206.9|-32.9
691,206.9,-60.6,4,Sy1.5,,206.9|-60.6
692,206.9,2.3,0,,,206.9|2.3
693,207.3,-30.3,4,Sy1.2,,207.3|-30.3
694,207.5,2.1,4,Sy1,,207.5|2.1
695,207.9,-18.2,4,Sy1(NL),,207.9|-18.2
696,208.3,69.3,4,Sy1.5,,208.3|69.3
697,208.4,-11.4,2,Galaxy,,208.4|-11.4
698,208.6,-37.8,5,Sy1.9,,208.6|-37.8
699,208.6,13.5,5,Sy2pair,,208.6|13.5
700,208.9,35.3,2,Galaxy,,208.9|35.3
701,209,38.6,4,Sy1.5,,209|38.6
702,209,18.4,4,Sy1Sy2/MERGER/Sy2,,209|18.4
703,209.2,-19.5,4,Sy1,,209.2|-19.5
704,210.2,-63.4,10,Pulsar/msec,,210.2|-63.4
705,211.1,-61.8,1,,,211.1|-61.8
706,212,-30.4,4,Sy1.4,,212|-30.4
707,212.2,-61.1,0,,,212.2|-61.1
708,212.3,-45.3,9,CV/AMHER,,212.3|-45.3
709,212.7,-42.5,5,Sy2,,212.7|-42.5
710,213.3,-65.3,6,AGN,,213.3|-65.3
711,213.3,-3.2,5,Sy1.9,,213.3|-3.2
712,214.2,-12,2,Galaxy,,214.2|-12
713,214.3,-46.7,5,Sy2,,214.3|-46.7
714,214.4,61.7,8,Radiogalaxy,,214.4|61.7
715,214.5,25.7,7,BLLac,,214.5|25.7
716,214.5,25.1,4,Sy1.5,,214.5|25.1
717,214.7,-61,10,PSR/PWN,,214.7|-61
718,214.8,-26.6,4,Sy1,,214.8|-26.6
719,215,-60.8,10,PSR,,215|-60.8
720,215.3,-62.7,13,HMXB,,215.3|-62.7
721,215.4,47.8,4,Sy1.5,,215.4|47.8
722,216.1,24.6,5,Sy2,,216.1|24.6
723,216.3,-61.3,12,BeStar,,216.3|-61.3
724,216.5,37.8,3,GalaxyCluster,,216.5|37.8
725,216.9,19.8,4,Sy1,,216.9|19.8
726,217.1,42.7,7,BLLac,,217.1|42.7
727,217.3,1.3,4,Sy1,,217.3|1.3
728,217.5,-67.2,14,LMXB,,217.5|-67.2
729,217.8,28.3,4,Sy1,,217.8|28.3
730,218.2,-44.2,5,Sy2,,218.2|-44.2
731,218.3,-61.3,13,HMXB,,218.3|-61.3
732,218.5,5.5,5,Sy1.9,,218.5|5.5
733,218.7,48.7,4,Sy1,,218.7|48.7
734,219.1,58.8,4,Sy1.5,,219.1|58.8
735,219.2,-16.2,8,AGN,,219.2|-16.2
736,219.8,14.3,4,Sy1,,219.8|14.3
737,220.2,53.5,4,Sy1,,220.2|53.5
738,220.6,-17.3,5,Sy2,,220.6|-17.3
739,221.4,27,5,Sy1.9,,221.4|27
740,221.6,-64.2,4,Sy1.2,,221.6|-64.2
741,221.8,-58.3,1,Newsource,,221.8|-58.3
742,222.2,-59.7,15,XRB,,222.2|-59.7
743,222.2,-40.1,0,,,222.2|-40.1
744,223.7,85.9,2,"Galaxy,z=.0787?",,223.7|85.9
745,222.9,-55.7,5,Sy2,,222.9|-55.7
746,222.3,-55.6,6,AGN,,222.3|-55.6
747,223.3,25.9,4,Sy1,,223.3|25.9
748,223.5,-55.4,9,CV/AMHer,,223.5|-55.4
749,223.8,-51.6,4,Sy1NL,,223.8|-51.6
750,224.4,-43.1,5,Sy2,,224.4|-43.1
751,224.8,71.7,8,Sy1.5,,224.8|71.7
752,226,10.4,4,Sy1,,226|10.4
753,226.5,3.7,4,Sy1,,226.5|3.7
754,226.7,3.9,5,Sy2,,226.7|3.9
755,227.2,-49.9,0,SRC/RADIO,,227.2|-49.9
756,227.2,-0.2,4,Sy1.5,,227.2|-0.2
757,227.4,-66.8,9,CV/DQHer,,227.4|-66.8
758,227.7,5.7,3,GalaxyCluster,,227.7|5.7
759,228,-21.3,4,Sy1/NL,,228|-21.3
760,228,-10.8,0,SRC/RADIO,,228|-10.8
761,228,-10.8,2,Galaxy,,228|-10.8
762,228.2,-9.1,8,QSO/HP,,228.2|-9.1
763,228.5,-59.1,10,PSR/PWN,,228.5|-59.1
764,228.7,-81.4,4,Sy1.2,,228.7|-81.4
765,228.8,42,5,Sy2,,228.8|42
766,229.9,65.6,5,Sy1.9,,229.9|65.6
767,230.2,-57.2,14,LMXB,,230.2|-57.2
768,230.4,3.6,4,Sy1,,230.4|3.6
769,230.9,63.7,8,Sy1/BLRG,,230.9|63.7
770,232.5,-13,4,Sy1,,232.5|-13
771,233.3,-8.7,5,Sy2,,233.3|-8.7
772,234,-57.8,6,AGN,,234|-57.8
773,234,57.9,4,Sy1,,234|57.9
774,234.8,-62.5,15,XRB,,234.8|-62.5
775,235.6,-14.2,2,Galaxy,,235.6|-14.2
776,235.6,-52.4,13,HMXB,,235.6|-52.4
777,236.6,69.5,5,Sy1.9,,236.6|69.5
778,236.9,20.9,8,QSO,,236.9|20.9
779,236.9,-64.2,0,,,236.9|-64.2
780,237,-62.6,14,LMXB/NS,,237|-62.6
781,237.1,-45.5,9,CV/DQHer,,237.1|-45.5
782,237.1,-13.8,5,Sy2,,237.1|-13.8
783,237.7,-54.3,10,Pulsar,,237.7|-54.3
784,238.4,23.8,8,WLRG,,238.4|23.8
785,238.4,26.2,8,QSO,,238.4|26.2
786,239.2,-79.2,4,Sy1,,239.2|-79.2
787,239.5,-54.4,13,HMXB,,239.5|-54.4
788,239.6,27.2,3,GalaxyCluster,,239.6|27.2
789,239.9,25.9,12,Symb/WD,,239.9|25.9
790,240.3,-60.7,14,LMXB,,240.3|-60.7
791,241.3,-72.9,2,Galaxy,,241.3|-72.9
792,241.8,48.6,4,Sy1,,241.8|48.6
793,241.8,85,8,Sy1,,241.8|85
794,243,-60.6,4,Sy1,,243|-60.6
795,243.2,-52.4,14,LMXB,,243.2|-52.4
796,243.5,65.7,4,Sy1,,243.5|65.7
797,244.2,-50,9,CV,,244.2|-50
798,244.4,-50.9,10,Pulsar,,244.4|-50.9
799,244.4,32.4,8,Sy1,,244.4|32.4
800,244.7,-59.5,4,Sy1NL,,244.7|-59.5
801,244.9,-49.7,13,HMXB/SFXTCandidate,,244.9|-49.7
802,244.9,-28.1,15,Symb/NS,,244.9|-28.1
803,244.8,81,5,Sy2,,244.8|81
804,245,-15.6,14,LMXB/NS,,245|-15.6
805,245.2,-51.5,13,HMXB,,245.2|-51.5
806,246.5,43.8,8,Quasar,,246.5|43.8
807,246.5,-29.9,7,Blazar,,246.5|-29.9
808,246.7,-51.9,13,HMXB/NS/BeBinary,,246.7|-51.9
809,246.4,85.5,4,Sy1.2,,246.4|85.5
810,247,51.8,5,Sy1.9,,247|51.8
811,247,-49.2,14,LMXB/NS,,247|-49.2
812,247,-48.6,13,HMXB/NS,,247|-48.6
813,247.1,-50.4,14,LMXB,,247.1|-50.4
814,247.5,67.4,4,Sy1.0/Sy1.5,,247.5|67.4
815,247.6,39.4,5,Sy2,,247.6|39.4
816,247.8,23.9,5,Sy2/threenucle1,,247.8|23.9
817,248,-48.8,13,HMXB/NS,,248|-48.8
818,248,-47.9,10,Pulsar,,248|-47.9
819,248.1,-67.5,14,LMXB,,248.1|-67.5
820,248.5,-47.4,14,LMXB,,248.5|-47.4
821,248.2,-47.4,13,HMXB,,248.2|-47.4
822,248.8,-58.1,5,Sy2,,248.8|-58.1
823,249.6,-64.3,3,GalaxyCluster,,249.6|-64.3
824,249.8,-46.7,13,HMXB,,249.8|-46.7
825,250.2,-53.8,14,LMXB,,250.2|-53.8
826,250.5,-45.5,13,HMXB/SFXT?,,250.5|-45.5
827,250.8,70.6,2,Galaxy,,250.8|70.6
828,250.7,39.8,8,HPQ,,250.7|39.8
829,251.4,-45.6,14,LMXB/NS,,251.4|-45.6
830,252,-45.2,13,HMXB/SFXT,,252|-45.2
831,251.6,-45.1,13,HMXB/PULSAR,,251.6|-45.1
832,252.1,-30.6,4,Sy1,,252.1|-30.6
833,252.4,-43.8,15,XRB/NS,,252.4|-43.8
834,252.5,-33.1,9,CV/DQHer,,252.5|-33.1
835,252.7,4.6,5,Sy2,,252.7|4.6
836,252.8,-59.2,5,Sy2,,252.8|-59.2
837,253.2,-59.2,5,AGN/Starburst/Sy1/Sy2,,253.2|-59.2
838,253.1,55.9,5,Sy2,,253.1|55.9
839,253.1,-45.3,1,Transient,,253.1|-45.3
840,253.2,2.4,5,Sy2,,253.2|2.4
841,253.3,23.8,8,QSO,,253.3|23.8
842,253.5,39.8,7,BLLac,,253.5|39.8
843,253.5,-39.8,14,LMXB/BH,,253.5|-39.8
844,253.7,-19.3,9,CV,,253.7|-19.3
845,254,-52.1,4,Sy1.2,,254|-52.1
846,254.1,-33,7,Blazar,,254.1|-33
847,254.5,35.3,14,LMXB/NS,,254.5|35.3
848,254.8,-15.3,15,XRB/BH,,254.8|-15.3
849,255.1,-42.3,15,XRB,,255.1|-42.3
850,255.2,-41.7,13,HMXB/NS,,255.2|-41.7
851,255.2,-46.2,14,LMXB,,255.2|-46.2
852,255.4,-43.1,1,Star,,255.4|-43.1
853,255.4,-40.9,14,LMXB,,255.4|-40.9
854,255.7,-48.8,14,LMXB,,255.7|-48.8
855,256,-37.8,13,HMXB/NS,,256|-37.8
856,255.9,78.7,3,GalaxyCluster,,255.9|78.7
857,256.4,-36.4,14,LMXB/NS,,256.4|-36.4
858,256.6,-43,14,LMXB/NS,,256.6|-43
859,256.5,-61.7,1,transient,,256.5|-61.7
860,256.6,24,14,LMXB/NS,,256.6|24
861,257.2,21.9,4,Sy1/BLAGN,,257.2|21.9
862,257.2,-40.1,10,NS/AXP,,257.2|-40.1
863,257.2,-44.1,14,LMXB/NS,,257.2|-44.1
864,257.2,-32.3,14,LMXB,,257.2|-32.3
865,257.4,-26.7,14,LMXB,,257.4|-26.7
866,257.3,-36.4,14,LMXB/microquasar,,257.3|-36.4
867,257.4,-36.5,14,LMXB/BH,,257.4|-36.5
868,257.6,-28.1,14,LMXB,,257.6|-28.1
869,258,-39.7,11,SNR,,258|-39.7
870,258.1,-23.4,3,GalaxyCluster,,258.1|-23.4
871,258.1,-40.8,14,LMXB,,258.1|-40.8
872,258.2,-24.2,9,CV/DQHer,,258.2|-24.2
873,258.2,-37.6,14,LMXB/NS,,258.2|-37.6
874,259.2,-62.8,5,Sy2,,259.2|-62.8
875,259.8,49,4,Sy1LINER,,259.8|49
876,259.9,-41,9,CV,,259.9|-41
877,260,-31.3,13,HMXB,,260|-31.3
878,260.1,-51.7,0,SRC/X-RAY,,260.1|-51.7
879,260.5,43.3,7,Blazar/Sy1.5,,260.5|43.3
880,260.8,-28.6,0,,,260.8|-28.6
881,260.8,34.3,7,Blazar/Sy1,,260.8|34.3
882,260.8,36.5,4,Sy1.5,,260.8|36.5
883,261.3,-36.3,13,HMXB/NS,,261.3|-36.3
884,261.4,-33,15,XRB,,261.4|-33
885,261.9,-30.8,14,LMXB,,261.9|-30.8
886,262.6,-6,9,CV/DQHer,,262.6|-6
887,262.8,14.7,2,Galaxy,,262.8|14.7
888,262.9,-17,14,LMXB/NS,,262.9|-17
889,263,-19.2,12,Nova,,263|-19.2
890,263,-33.8,14,LMXB/NS,,263|-33.8
891,263,-24.7,13,HMXB/NS,,263|-24.7
892,263.4,-33.4,14,LMXB,,263.4|-33.4
893,263.4,36.5,2,Galaxy,,263.4|36.5
894,263.9,-32.9,0,SRC/GAMMA,,263.9|-32.9
895,264.4,-29.1,4,Sy1,,264.4|-29.1
896,264.5,-60.1,0,,,264.5|-60.1
897,264.4,-59.9,5,Sy2,,264.4|-59.9
898,264.6,-27,14,LMXB/NS,,264.6|-27
899,264.8,-30.3,13,HMXB,,264.8|-30.3
900,264.7,-44.4,14,LMXB/NS,,264.7|-44.4
901,265.1,-36.9,14,LMXB,,265.1|-36.9
902,265.2,-28.3,14,LMXB,,265.2|-28.3
903,265,-28.5,14,LMXB,,265|-28.5
904,265.5,-12.2,4,Sy1,,265.5|-12.2
905,265.5,-60.9,8,RadioGalaxy,,265.5|-60.9
906,265.5,18.5,8,QSO,,265.5|18.5
907,265.8,-36.4,0,SRC/X-ray,,265.8|-36.4
908,265.8,62.8,5,Sy2,,265.8|62.8
909,266,-29.7,14,LMXB/BH,,266|-29.7
910,266.2,-32.5,15,XRB/BH,,266.2|-32.5
911,266.4,29.1,4,Sy1,,266.4|29.1
912,266.4,-29,1,Galacticcenter,,266.4|-29
913,266.6,-28.7,14,LMXB,,266.6|-28.7
914,266.8,-28.9,14,LMXB,,266.8|-28.9
915,266.5,-28.9,1,MolecularCloud?,,266.5|-28.9
916,266.5,-29.5,14,LMXB,,266.5|-29.5
917,266.2,-29.3,14,LMXB,,266.2|-29.3
918,266.6,-32.2,14,LMXB,,266.6|-32.2
919,266.8,-28.4,1,,,266.8|-28.4
920,266.8,-27.3,15,XRBburster,,266.8|-27.3
921,266.9,-30,14,LMXB/NS,,266.9|-30
922,266.9,-22.9,0,QSOCandidate,,266.9|-22.9
923,267.2,68.7,4,Sy1/Sy2,,267.2|68.7
924,266.7,68.6,4,Sy1,,266.7|68.6
925,267,-26.6,14,LMXB/NS,,267|-26.6
926,267.3,-26.6,13,HMXB,,267.3|-26.6
927,267.1,-36.1,14,LMXB,,267.1|-36.1
928,267.2,-32.9,4,Sy1,,267.2|-32.9
929,267.3,-27.6,13,HMXB,,267.3|-27.6
930,267.4,-28.4,14,LMXB,,267.4|-28.4
931,267.6,-37.1,14,LMXB/NS,,267.6|-37.1
932,267.6,-29.1,1,transient,,267.6|-29.1
933,267.7,-31.3,14,LMXB,,267.7|-31.3
934,268,-60.3,2,Galaxy,,268|-60.3
935,268.1,-22.3,15,blackhole,,268.1|-22.3
936,268.4,-1.5,14,LMXB/BHC,,268.4|-1.5
937,268.6,-26.3,13,HMXB,,268.6|-26.3
938,269.5,-30.9,14,LMXB,,269.5|-30.9
939,269.6,-21.4,13,HMXB,,269.6|-21.4
940,269.9,-22,14,LMXB,,269.9|-22
941,270,66.6,5,Sy2,,270|66.6
942,270.1,8.2,9,CV/AMHer,,270.1|8.2
943,270.3,-25.1,14,LMXB/NS,,270.3|-25.1
944,270.3,-25.7,14,LMXB/BH,,270.3|-25.7
945,270.4,-20.5,14,LMXB/NS,,270.4|-20.5
946,270.7,-20.3,13,HMXB,,270.7|-20.3
947,270.7,-14.9,4,Sy1,,270.7|-14.9
948,271.7,-50.1,12,Star/X-ray,,271.7|-50.1
949,272,11.3,4,Sy1,,272|11.3
950,272,5.9,9,CV/Dwarfnova,,272|5.9
951,272.1,-37,14,LMXB,,272.1|-37
952,272.2,-20.4,10,SGR,,272.2|-20.4
953,272.6,-19.1,1,Transient,,272.6|-19.1
954,272.7,-26.2,14,LMXB,,272.7|-26.2
955,272.9,-19.4,10,Pulsar,,272.9|-19.4
956,273.4,-17.8,11,SNR/PWN,,273.4|-17.8
957,273.6,-17.2,14,LMXB/NS,,273.6|-17.2
958,273.8,-12.1,14,LMXB/NS,,273.8|-12.1
959,274,42.7,5,Sy2Galaxypair,,274|42.7
960,274,-14,14,LMXB/NS,,274|-14
961,274.1,49.9,9,CV/AMHer,,274.1|49.9
962,274.3,-25.1,9,CV,,274.3|-25.1
963,274.4,-33,15,XRB/BHC,,274.4|-33
964,275.1,-14.6,13,HMXB,,275.1|-14.6
965,275.3,-13.3,13,HMXB,,275.3|-13.3
966,275.5,64.3,8,Sy1,,275.5|64.3
967,275.4,59.9,4,Sy1,,275.4|59.9
968,275.9,-30.4,14,LMXB/NS,,275.9|-30.4
969,276.1,-56.4,5,Sy2,,276.1|-56.4
970,276,18.8,5,Sy2,,276|18.8
971,276.1,-14.4,10,Pulsar,,276.1|-14.4
972,276.3,0,14,LMXB/NS,,276.3|0
973,276.6,72.2,2,Galaxypair,,276.6|72.2
974,276.4,-37.1,14,LMXB,,276.4|-37.1
975,276.5,-7.2,4,Sy1,,276.5|-7.2
976,276.6,-14.8,13,HMXB,,276.6|-14.8
977,276.6,32.9,5,Sy2,,276.6|32.9
978,277.4,-23.8,14,LMXB/NS,,277.4|-23.8
979,277.4,48.7,8,Sy1.5LPQ,,277.4|48.7
980,277.7,9.5,5,Sy2,,277.7|9.5
981,278.4,-10.6,11,SNR,,278.4|-10.6
982,278.4,-21.1,7,Blazar,,278.4|-21.1
983,278.8,32.7,4,Sy1,,278.8|32.7
984,278.9,-33,14,LMXB/NS,,278.9|-33
985,279.2,-59.4,5,Sy2,,279.2|-59.4
986,279.5,-6.9,10,PSR/PWN,,279.5|-6.9
987,279.6,-65.4,5,Sy2,,279.6|-65.4
988,279.8,-57.3,0,SRC/X-RAY,,279.8|-57.3
989,280,5,14,LMXB/NS,,280|5
990,280.3,-5.6,13,HMXB,,280.3|-5.6
991,280.3,-4.9,10,AXP,,280.3|-4.9
992,280.5,-11.4,1,Transient,,280.5|-11.4
993,280.5,79.8,4,Sy1,,280.5|79.8
994,281.2,-62.4,4,Sy1,,281.2|-62.4
995,281.3,-4.6,13,HMXB,,281.3|-4.6
996,281.4,0.9,13,HMXB,,281.4|0.9
997,281.4,72.2,5,Sy2,,281.4|72.2
998,281.6,-3,10,Pulsar,,281.6|-3
999,282.6,84.4,0,SRC/X-RAY,,282.6|84.4
1000,281.7,84.4,0,SRC/X-RAY,,281.7|84.4
1001,281.8,-78.5,4,Sy1,,281.8|-78.5
1002,282.1,-3.2,13,HMXB/NS/SGFXT,,282.1|-3.2
1003,282.2,0.6,12,Nova,,282.2|0.6
1004,282.1,-0.8,0,SRC/Radio,,282.1|-0.8
1005,282.3,0,15,XRB,,282.3|0
1006,283.2,30.1,0,,,283.2|30.1
