,BAT ID,RA,DEC,z[OIII]_x,log_Lbol,Lbol Ref,log_Mbh,log_Mbh err (lower),log_Mbh err (upper),Mbh Ref,log_Eratio,Eratio Ref
429,701,208.8909,35.3494,0.1016,45.19,Swift,,,,None,,None
430,702,208.973,38.5746,0.050657212,44.22,BASS,7.93,0.3,0.3,TN12,-1.89,TN12
431,703,209.012,18.3721,0.050149358,44.72,Swift,6.76,0.1,0.1,GH05,-0.15,Swift
432,704,209.1529,-19.5292,0.034963227,44.58,Swift,,,,None,,None
433,707,212.0282,-30.3983,0.023577516,44.24,Swift,,,,None,,None
434,710,212.6868,-42.4758,0.034033931,44.41,Swift,8.27,0.54,0.54,stellar,,None
435,712,213.3119,-3.2075,0.006092382,44.12,Swift,5.62,0.1,0.1,GH05,0.39,Swift
436,713,214.2084,-11.9829,0.099236667,45.02,BASS,8.87,0.3,0.3,TN12,-2.03,TN12
437,714,214.2652,-46.6948,0.07661,45.41,Swift,8.8,0.34,0.34,stellar,,None
438,715,214.4289,61.6979,0.118548199,45.32,Swift,9.31,0.31,0.31,stellar,,None
439,716,214.486,25.724,0.237,46.0,Swift,9.31,0.32,0.32,stellar,,None
440,717,214.4981,25.1368,0.017033292,44.07,BASS,8.03,0.3,0.3,TN12,-2.14,TN12
441,719,214.8434,-26.6447,0.02283949,44.01,BASS,7.13,0.3,0.3,TN12,-1.3,TN12
442,722,215.3742,47.7902,0.072673857,45.02,BASS,8.35,0.3,0.3,TN12,-1.51,TN12
443,723,216.0954,24.6144,0.016911342,44.0,Swift,7.81,0.31,0.31,stellar,,None
444,726,216.854,19.831,0.111044503,45.54,BASS,8.87,0.3,0.3,TN12,-1.51,TN12
445,727,217.1361,42.6724,0.129139,45.89,Swift,8.87,0.31,0.31,stellar,,None
446,728,217.2775,1.2851,0.086490482,45.49,BASS,8.67,0.3,0.3,TN12,-1.36,TN12
447,731,218.1699,-44.1746,0.00418308,42.69,Swift,,,,None,,None
448,733,218.4677,5.4582,0.024851579,44.26,Swift,7.65,0.36,0.36,stellar,,None
449,734,218.7185,48.6619,0.036781985,44.31,BASS,7.67,0.3,0.3,TN12,-1.53,TN12
450,735,219.092,58.7943,0.031112041,44.67,BASS,8.1,0.3,0.3,TN12,-1.6,TN12
451,736,219.2067,-16.2281,0.144649648,45.93,Swift,,,,None,,None
452,737,219.7995,14.2561,0.071490305,45.18,Swift,8.39,0.3,0.3,stellar,,None
453,738,220.1587,53.5044,0.037711443,44.58,Swift,6.7,0.1,0.1,GH05,-0.23,Swift
454,739,220.5997,-17.2532,0.009896624,43.9,Swift,5.21,0.1,0.1,GH05,0.58,Swift
455,740,221.4035,27.0348,0.029586977,44.34,Swift,6.87,0.1,0.1,GH05,-0.65,Swift
456,741,221.6175,-64.2733333,0.052976556,44.1,BASS,7.7,0.3,0.3,TN12,-1.77,TN12
457,744,222.212542,-40.146028,0.123238913,45.62,BASS,8.82,0.3,0.3,TN12,-1.38,TN12
458,746,222.8881,-55.6773,0.018,44.38,Swift,7.55,0.1,0.1,GH05,-1.28,Swift
459,748,223.2833,25.9091,0.048856847,44.47,BASS,8.38,0.3,0.3,TN12,-2.09,TN12
460,750,223.823,-51.571,0.016262952,44.43,BASS,6.86,0.3,0.3,TN12,-0.61,TN12
461,751,224.4216,-43.1321,0.015798207,44.1,Swift,,,,None,,None
462,752,224.7816,71.6722,0.905,47.49,Swift,,,,None,,None
463,753,226.005,10.4378,0.036665584,44.36,BASS,7.81,0.3,0.3,TN12,-1.62,TN12
464,754,226.486,3.707,0.036285426,44.52,BASS,7.59,0.3,0.3,TN12,-1.24,TN12
465,755,226.684,3.862,0.037248772,44.61,Swift,7.49,0.3,0.3,stellar,,None
466,757,227.2248,-0.197,0.054369707,45.04,Swift,7.87,0.1,0.1,GH05,-0.95,Swift
467,760,227.9992,-21.3171,0.044456936,44.9,BASS,7.24,0.3,0.3,TN12,-0.52,TN12
468,763,228.2106,-9.1,0.359609693,45.04,BASS,7.78,0.3,0.3,TN12,-0.91,TN12
469,765,228.6751,-81.3939,0.068715117,45.12,BASS,8.96,0.3,0.3,TN12,-2.01,TN12
470,766,228.7635,42.0499,0.0084435,43.45,Swift,8.66,0.31,0.31,stellar,,None
471,769,230.4153,3.6248,0.126629456,45.09,BASS,8.5,0.3,0.3,TN12,-1.59,TN12
472,771,232.493,-13.011,0.103914266,45.53,Swift,,,,None,,None
473,772,233.3363,-8.7005,0.022845107,44.49,Swift,7.2,0.1,0.1,GH05,-0.82,Swift
474,774,233.9682,57.9026,0.030746974,44.5,BASS,7.64,0.3,0.3,TN12,-1.31,TN12
475,776,235.5999,-14.1849,0.096655532,45.01,BASS,8.54,0.3,0.3,TN12,-1.71,TN12
476,778,236.6014,69.4861,0.037829068,44.57,Swift,9.18,0.3,0.3,stellar,,None
477,779,236.9314,20.8713,0.26470679,46.01,BASS,8.97,0.3,0.3,TN12,-1.14,TN12
478,783,237.104,-13.7578,0.024424761,44.68,Swift,6.39,0.1,0.1,GH05,0.17,Swift
479,786,238.3947,26.2448,0.166516316,45.79,Swift,8.57,0.34,0.34,stellar,,None
480,785,238.4316,23.8071,0.117552414,45.48,Swift,7.99,0.1,0.1,GH05,-0.62,Swift
481,792,241.347,-72.899,0.090014849,45.61,Swift,,,,None,,None
482,793,241.808,48.5573,0.125156492,44.76,BASS,8.52,0.3,0.3,TN12,-1.93,TN12
483,795,242.9642,-60.6319,0.015548013,43.99,BASS,7.26,0.3,0.3,TN12,-1.45,TN12
484,797,243.4883,65.7193,0.128794133,45.77,BASS,8.99,0.3,0.3,TN12,-1.4,TN12
485,800,244.4272,32.3763,0.150940069,46.06,Swift,,,,None,,None
486,801,244.6518,-59.4548,0.034688096,44.71,BASS,7.52,0.3,0.3,TN12,-0.99,TN12
487,804,244.8302,81.0465,0.02317721,44.35,Swift,9.82,0.32,0.32,stellar,,None
488,807,246.472125,43.7871667,1.04736,47.79,Swift,,,,None,,None
489,811,247.0169,51.7754,0.05622195,45.42,Swift,,,,None,,None
490,816,247.6361,39.3842,0.030406026,44.34,Swift,7.96,0.3,0.3,stellar,,None
491,817,247.8147,23.8826,0.059119252,44.8,Swift,8.74,0.32,0.32,stellar,,None
492,823,248.808792,-58.080028,0.008788439,43.51,Swift,,,,None,,None
493,829,250.745,39.8103,0.593240976,46.21,BASS,8.77,0.3,0.3,TN12,-0.74,TN12
494,828,250.8343,70.6325,0.014884417,43.67,Swift,7.43,0.52,0.52,stellar,,None
495,833,252.0635,-30.5845,0.031,44.91,Swift,,,,None,,None
496,836,252.6781,4.605,0.031851489,44.66,Swift,9.83,0.32,0.32,stellar,,None
497,841,253.2454,2.4009,0.02385526,44.87,Swift,6.28,0.1,0.1,GH05,0.47,Swift
498,842,253.3127,23.8286,0.103549938,45.39,Swift,8.23,0.32,0.32,stellar,,None
499,843,253.4676,39.7602,0.033663,44.97,Swift,,,,None,,None
500,846,254.0238,-52.0614,0.053902596,45.23,BASS,8.25,0.3,0.3,TN12,-1.2,TN12
501,847,254.0699,-33.0369,2.4,49.35,Swift,,,,None,,None
502,862,257.2464,21.8856,0.072792239,44.39,BASS,7.82,0.3,0.3,TN12,-1.6,TN12
503,875,259.2478,-62.8206,0.003131237,43.3,Swift,,,,None,,None
504,876,259.8104,48.9804,0.024467618,44.3,Swift,8.92,0.34,0.34,stellar,,None
505,882,260.8367,34.2994,0.210003301,45.78,BASS,8.27,0.3,0.3,TN12,-0.67,TN12
506,883,260.8467,36.5028,0.039988908,44.09,BASS,6.98,0.3,0.3,TN12,-1.07,TN12
507,888,262.8058,14.7155,0.08265,45.19,Swift,,,,None,,None
508,905,265.4802083,-12.1990833,0.036848109,44.19,BASS,7.79,0.3,0.3,TN12,-1.78,TN12
509,912,266.409,29.14,0.110797822,44.64,BASS,8.82,0.3,0.3,TN12,-2.35,TN12
510,925,266.7493,68.6102,0.062947697,44.63,BASS,7.08,0.3,0.3,TN12,-0.62,TN12
511,923,266.873917,-22.879056,0.04672487,44.42,BASS,8.53,0.3,0.3,TN12,-2.28,TN12
512,924,267.1599,68.7044,0.055133108,44.7,BASS,7.4,0.3,0.3,TN12,-0.88,TN12
513,929,267.2297,-32.9145,0.02,44.42,Swift,7.13,0.1,0.1,GH05,-0.82,Swift
514,935,267.9825,-60.3286,0.112440993,45.59,Swift,,,,None,,None
515,948,270.697,-14.915,0.035515632,44.5,BASS,7.76,0.3,0.3,TN12,-1.43,TN12
516,950,271.958,11.347,0.078681916,44.77,BASS,8.7,0.3,0.3,TN12,-2.1,TN12
517,960,274.0487,42.6608,0.040918834,44.78,Swift,8.11,0.35,0.35,stellar,,None
518,968,275.3619,59.9225,0.099247572,45.46,Swift,,,,None,,None
519,967,275.4888,64.3434,0.29682827,46.78,BASS,9.59,0.3,0.3,TN12,-0.98,TN12
520,971,276.0451,18.7691,0.066084001,45.19,Swift,7.31,0.1,0.1,GH05,-0.23,Swift
521,970,276.0808,-56.3692,0.016700258,44.33,Swift,,,,None,,None
522,978,276.635,32.8583,0.022101702,44.2,Swift,7.72,0.44,0.44,stellar,,None
523,980,277.382,48.746,0.690014302,46.43,BASS,8.73,0.3,0.3,TN12,-0.48,TN12
524,981,277.711,9.4783,0.019048018,43.31,Swift,8.39,0.34,0.34,stellar,,None
525,983,278.4162,-21.0611,2.507,49.53,Swift,,,,None,,None
526,984,278.7641,32.6963,0.057890381,44.93,BASS,8.19,0.3,0.3,TN12,-1.43,TN12
527,986,279.2429,-59.4024,0.019733502,44.0,Swift,6.7,0.1,0.1,GH05,-0.82,Swift
528,988,279.5848,-65.4276,0.01321136,44.54,Swift,5.72,0.1,0.1,GH05,0.71,Swift
529,994,280.5375,79.7714,0.056054458,43.93,BASS,8.11,0.3,0.3,TN12,-2.36,TN12
530,995,281.2249,-62.3648,0.013951939,44.19,BASS,7.1,0.3,0.3,TN12,-1.08,TN12
531,1002,281.7618,-78.5304,0.074262396,45.25,Swift,,,,None,,None
532,1009,283.6679,-78.8984,0.02896863,44.23,Swift,8.15,0.35,0.35,stellar,,None
533,1013,284.00233,15.63289,0.083603553,44.9,BASS,8.29,0.3,0.3,TN12,-1.57,TN12
534,1015,284.2058,-54.7083,0.056240835,44.98,Swift,,,,None,,None
535,1020,285.9548,33.8447,0.015167084,43.91,Swift,,,,None,,None
536,1027,288.3115,-50.1829,0.062277087,45.16,Swift,8.81,0.43,0.43,stellar,,None
537,1031,289.8667,-29.9694,0.166845375,45.98,Swift,,,,None,,None
538,1032,290.309,-58.6703,0.037103533,44.87,BASS,8.07,0.3,0.3,TN12,-1.37,TN12
539,1036,291.2591,50.7204,0.067606374,45.0,BASS,8.91,0.3,0.3,TN12,-2.09,TN12
540,1037,291.6258,41.5514,0.028544185,44.29,Swift,,,,None,,None
541,1038,291.952,73.967,0.301749914,45.47,BASS,8.25,0.3,0.3,TN12,-0.95,TN12
542,1040,292.5575,34.1805,0.063806675,44.73,BASS,8.15,0.3,0.3,TN12,-1.6,TN12
